id,pop,tot_germ,seed1,awn1,seed2,awn2,seed3,awn3,seed4,awn4,seed5,awn5,avg_seed,avg_awn,awn_seed,awn_seed1,awn_seed2,awn_seed3,awn_seed4,awn_seed5,avg_awn_seed
262,16,1,10.84,4.84,9.46,5.19,9.04,4.65,9.07,4.76,9.63,4.66,9.608,4.82,0.501665279,0.446494465,0.548625793,0.514380531,0.524807056,0.483904465,0.603975518
276,16,1,11.52,6.99,12.32,7.41,10.45,5.88,9.2,4.79,10.45,6.71,10.788,6.356,0.589173155,0.606770833,0.601461039,0.562679426,0.520652174,0.642105263,0.704568378
299,16,0.857142857,9.06,4.01,8.91,3.62,9.26,4.56,9.25,4.15,8.91,3.53,9.078,3.974,0.437761622,0.442604857,0.406285073,0.492440605,0.448648649,0.396184063,0.524784973
19,17,1,10.88,6.61,9.92,5.88,9.76,5.3,9.84,6.44,10.91,6.32,10.262,6.11,0.595400507,0.607536765,0.592741935,0.543032787,0.654471545,0.57928506,0.71449372
31,17,1,10.61,5.89,12.65,6.48,10.08,5.13,10.97,6.33,10.45,7.07,10.952,6.18,0.564280497,0.555136664,0.512252964,0.508928571,0.577028259,0.676555024,0.678836396
34,17,1,14.1,8.04,10.78,5.52,13.56,8.18,14.26,9.88,13.67,8.66,13.274,8.056,0.606900708,0.570212766,0.512059369,0.603244838,0.692847125,0.633504023,0.723753766
112,17,1,13.55,8.56,13.05,7.72,13.93,8.11,13.99,7.91,13.41,8.31,13.586,8.122,0.597821287,0.631734317,0.591570881,0.582196698,0.56540386,0.619686801,0.717682769
150,17,1,12.79,8.07,12.63,8.34,12.94,8.91,12.4,8.1,12.08,7.66,12.568,8.216,0.653723743,0.630961689,0.660332542,0.688562597,0.653225806,0.63410596,0.784182467
154,17,1,13.41,8.76,12.88,7.39,13.97,8.76,12.51,9.01,12.34,8.62,13.022,8.508,0.653355859,0.653243848,0.573757764,0.627057981,0.720223821,0.698541329,0.785236121
162,17,1,12.53,7.23,11.45,6.68,11.52,7.56,10.65,6.81,13.99,8.05,12.028,7.266,0.604090456,0.577015164,0.583406114,0.65625,0.63943662,0.575411008,0.727121872
225,17,0.857142857,9.75,5.32,11.65,6.64,9.84,6.08,12.16,7.38,11.35,7.14,10.95,6.512,0.594703196,0.545641026,0.569957082,0.617886179,0.606907895,0.62907489,0.712834053
228,17,0.857142857,12.26,7.84,12.59,7.78,13.18,7.49,11.19,6.93,11.4,6.12,12.124,7.232,0.596502804,0.639477977,0.617950755,0.568285281,0.619302949,0.536842105,0.715672374
288,17,0.285714286,15.54,9.72,12.9,7.38,12.98,7.58,11.2,5.83,15.45,10.26,13.614,8.154,0.598942265,0.625482625,0.572093023,0.583975347,0.520535714,0.66407767,0.713021329
82,18,0.428571429,16.24,11.13,13.65,7.42,15.45,9.63,13.77,8.77,12.49,6.58,14.32,8.706,0.607960894,0.685344828,0.543589744,0.623300971,0.636891794,0.526821457,0.724781937
101,18,0.571428571,14.89,9.22,16.19,9.59,15.83,10.45,17.68,10.9,13.82,8.66,15.682,9.764,0.622624665,0.619207522,0.592340951,0.660138977,0.616515837,0.626628075,0.747491205
108,18,0.714285714,10.37,5.55,10.75,6.31,9.83,4.71,8.95,4.88,10.3,5.66,10.04,5.422,0.540039841,0.535197686,0.586976744,0.479145473,0.545251397,0.549514563,0.647225141
126,18,0.285714286,8.76,4,9.33,3.96,9.11,4.45,9.98,4.38,9.61,5.03,9.358,4.364,0.466338961,0.456621005,0.424437299,0.488474204,0.438877756,0.523413111,0.559632467
133,18,0.285714286,8.85,3.03,7.42,2.06,7.76,2.27,8.36,3.41,7.84,2.76,8.046,2.706,0.336316182,0.342372881,0.277628032,0.292525773,0.407894737,0.352040816,0.401755684
142,18,0.428571429,13.62,8.91,10.28,6.58,12.23,8.29,11.36,6.76,12.04,7.48,11.906,7.604,0.638669578,0.654185022,0.640077821,0.677841374,0.595070423,0.621262458,0.765421335
163,18,0.428571429,11.16,6.6,12.1,7.27,13.13,8.55,12.48,7.16,12.2,6.8,12.214,7.276,0.595709841,0.591397849,0.600826446,0.651180503,0.573717949,0.557377049,0.714041927
186,18,0.428571429,9.05,5.14,9.17,5.49,10.37,5.85,9.46,4.82,10.43,6.41,9.696,5.542,0.571575908,0.567955801,0.598691385,0.56412729,0.509513742,0.614573346,0.685287494
209,18,0.571428571,10.22,5.44,8.31,4.04,8.71,3.76,9.5,4.4,8.34,3.63,9.016,4.254,0.471827862,0.532289628,0.486161252,0.431687715,0.463157895,0.435251799,0.56407523
232,18,0.714285714,8.32,3.14,8.28,3.06,8.54,3.61,8.14,3.59,7.84,2.35,8.224,3.15,0.383025292,0.377403846,0.369565217,0.422716628,0.441031941,0.299744898,0.458697564
18,19,1,13.2,8.82,10.75,7.1,12.82,8.12,13.67,9.61,12.07,8.95,12.502,8.52,0.681490961,0.668181818,0.660465116,0.633385335,0.702999268,0.741507871,0.817606074
68,19,1,12.92,6.78,12.34,6.91,13.13,8.15,13.53,8.08,13.77,8.81,13.138,7.746,0.589587456,0.524767802,0.559967585,0.620715918,0.597191426,0.639796659,0.706405369
76,19,0.857142857,9.36,5.64,11.35,7.11,10.35,5.95,11.06,6.84,9.04,5.25,10.232,6.158,0.601837373,0.602564103,0.626431718,0.574879227,0.618444846,0.580752212,0.720981896
77,19,0.857142857,14.17,8.37,12.87,8.22,12.8,7.92,13.29,7.3,13.56,8.65,13.338,8.092,0.606687659,0.590684545,0.638694639,0.61875,0.549285177,0.637905605,0.728401525
92,19,1,13.7,7.71,13.53,8.58,14.23,9.33,13.75,8.38,11.69,6.69,13.38,8.138,0.608221226,0.562773723,0.634146341,0.655657063,0.609454545,0.572284003,0.72850738
187,19,1,13.53,8.78,12.64,7.36,13.43,8.21,13.38,8.32,13.24,8.24,13.244,8.182,0.617789188,0.648928307,0.582278481,0.611317945,0.621823617,0.622356495,0.740898807
